Team,Conf,AdjEM,KPOR,KPDR,Conf_Rank
Gonzaga,WCC,36.71,1,10,1
Iowa,B10,30.14,2,56,3
Baylor,B12,31.86,3,25,1
Ohio St.,B10,25.73,4,80,5
Villanova,BE,24.1,5,66,1
Michigan,B10,32.63,6,4,1
LSU,SEC,19.54,7,126,3
Florida St.,ACC,24.13,8,49,1
Illinois,B10,29.62,9,7,2
Houston,Amer,29.58,10,5,2
West Virginia,B12,21.65,11,61,2
Creighton,BE,22.09,12,45,2
Toledo,MAC,14.22,13,157,1
Duke,ACC,17.44,14,101,10
Virginia,ACC,22.78,15,30,2
Notre Dame,ACC,12.32,16,183,12
Colorado,P12,22.55,17,27,4
Purdue,B10,23.07,18,20,4
UCLA,P12,16.43,19,94,3
Georgia Tech,ACC,18.65,20,58,5
Arizona,P12,16.09,21,95,5
Oregon,P12,17.63,22,67,1
BYU,WCC,21.43,23,29,2
Drake,MVC,15.41,24,105,2
Texas,B12,20.78,25,37,4
Loyola Chicago,MVC,23.58,62,1,1
Memphis,Amer,16.72,156,2,3
Alabama,SEC,24.77,41,3,1
Tennessee,SEC,20.87,73,6,4
San Diego St.,MWC,21.85,51,8,2
Kansas,B12,21.37,57,9,3
Wisconsin,B10,23.35,29,11,6
Clemson,ACC,16.69,116,12,7
Arkansas,SEC,23.24,27,13,2
VCU,A10,15.96,122,14,2
USC,P12,22.78,28,15,2
Texas Tech,B12,21.98,33,16,6
Saint Mary's,WCC,11.72,175,17,3
Rutgers,B10,18.39,68,18,7
Utah St.,MWC,16.27,96,19,3
North Carolina,ACC,18.24,64,21,6
Oklahoma St.,B12,17.8,70,22,5
Mississippi,SEC,15.5,99,23,7
Connecticut,BE,20.68,34,24,3
