Rk,Team,Conf,year,AdjEM,AdjO,AdjD,AdjT,AdjEM,OppO,OppD,AdjEM
1,Virginia 1,ACC,2019,34.22,123.4,89.2,59.4,11.18,109.2,98.1,-3.24
5,Texas Tech 3,B12,2019,30.03,114.1,84.1,66.6,11.18,109.8,98.7,-5.39
11,Auburn 5,SEC,2019,25,120.9,95.9,67.9,12.23,110.7,98.5,2.63
3,Michigan St. 2,B10,2019,30.81,121,90.2,66.9,13.67,110.6,96.9,3.24
1,Villanova 1,BE,2018,33.76,127.8,94,68.7,11.31,111.3,100,3.98
7,Michigan 3,B10,2018,24.2,114.7,90.5,64.9,10.32,111.4,101.1,-4.83
9,Kansas 1,B12,2018,23.49,120.9,97.4,68.8,12.41,111.7,99.3,3.55
31,Loyola Chicago 11,MVC,2018,16.39,111.4,95,65.5,2.48,104.8,102.3,-5.47
1,Gonzaga 1,WCC,2017,32.05,118.4,86.3,70.1,2.99,106.2,103.3,1.01
3,North Carolina 1,ACC,2017,28.22,120.7,92.5,71.3,12.49,112,99.5,3.87
10,Oregon 3,P12,2017,25.02,118.2,93.2,67,8.05,109.2,101.2,0.51
24,South Carolina 7,SEC,2017,20.8,108.9,88.1,68.6,10.63,110.2,99.5,1.93
1,Villanova 2,BE,2016,32.01,122.8,90.8,66,10.74,110.5,99.7,2.98
2,North Carolina 1,ACC,2016,29.82,124.4,94.6,70.5,11.45,111.7,100.2,3.13
10,Oklahoma 2,B12,2016,23.78,117.9,94.1,69.8,13.05,111.5,98.5,2.7
27,Syracuse 10,ACC,2016,18.57,112.7,94.1,65,10.21,110.9,100.7,-0.82
1,North Carolina 1,ACC,2009,31.14,123.2,92.1,72.9,9.91,108.2,98.3,1.06
2,Connecticut 1,BE,2009,29.25,116,86.8,67.1,10.37,109,98.6,-1.68
13,Villanova 3,BE,2009,23.89,114.4,90.5,68.3,9.99,108.9,98.9,-5.37
9,Michigan St. 2,B10,2009,24.37,114.3,89.9,66.5,12.33,109.4,97.1,5.81
