away,home,region,higher_seed,lower_seed
sub200,Michigan,East,1,16
St. Bonaventure,LSU,East,8,9
Georgetown,Colorado,East,5,12
UNC Greensboro,Florida St.,East,4,13
UCLA,BYU,East,6,11
Abilene Christian,Texas,East,3,14
Maryland,Connecticut,East,7,10
Iona,Alabama,East,2,15
Drexel,Illinois,MidWest,1,16
Georgia Tech,Loyola Chicago,MidWest,8,9
Oregon St.,Tennessee,MidWest,5,12
Liberty,Oklahoma St.,MidWest,4,13
Syracuse,San Diego St.,MidWest,6,11
Morehead St.,West Virginia,MidWest,3,14
Rutgers,Clemson,MidWest,7,10
Cleveland St.,Houston,MidWest,2,15
Norfolk St.,Gonzaga,West,1,16
Missouri,Oklahoma,West,8,9
UC Santa Barbara,Creighton,West,5,12
Ohio,Virgina,West,4,13
Drake,USC,West,6,11
Eastern Washington,Kansas,West,3,14
VCU,Oregon,West,7,10
Grand Canyon,Iowa,West,2,15
Hartford,Baylor,South,1,16
Wisconsin,North Carolina,South,8,9
Winthrop,Villanova,South,5,12
North Texas,Purdue,South,4,13
Utah St.,Texas Tech,South,6,11
Colgate,Arkansas,South,3,14
Virgina Tech,Florida,South,7,10
Oral Roberts,Ohio St.,South,2,15
